dataset	label	definition
Fsd50k	Cowbell	a bell that is hung from a cow's neck so that the cow can be found, or a metal musical instrument in the shape of such a bell that is hit with a stick
AudioSet	Cowbell	a bell that is hung from a cow's neck so that the cow can be found, or a metal musical instrument in the shape of such a bell that is hit with a stick
Fsd50k	Doorbell	a bell, operated by a button on or next to the door of a house, that you push to tell the people inside that you are there
AudioSet	Doorbell	a bell, operated by a button on or next to the door of a house, that you push to tell the people inside that you are there
Dcase2017t4	Doorbell	a bell, operated by a button on or next to the door of a house, that you push to tell the people inside that you are there
Fsd50k	Fowl	a bird of a type that is used to produce meat or eggs
AudioSet	Fowl	a bird of a type that is used to produce meat or eggs
Dcase2017t4	Fowl	a bird of a type that is used to produce meat or eggs
AudioSet	Duck	a bird that lives by water and has webbed feet (= feet with skin between the toes), a short neck, and a large beak
Dcase2017t4	Duck	a bird that lives by water and has webbed feet (= feet with skin between the toes), a short neck, and a large beak
Fsd50k	Gull_and_seagull	a bird that lives near the sea and has short legs, long wings, and white and grey feathers
AudioSet	Owl	a bird with a flat face and large eyes that hunts small mammals at night
Dcase2017t4	Owl	a bird with a flat face and large eyes that hunts small mammals at night
AudioSet	Sink (filling or washing)	a bowl that is attached to the wall in a kitchen or bathroom in which you wash dishes or your hands, etc.
Dcase2017t4	Sink (filling or washing)	a bowl that is attached to the wall in a kitchen or bathroom in which you wash dishes or your hands, etc.
Fsd50k	Sink_(filling_or_washing)	a bowl that is attached to the wall in a kitchen or bathroom in which you wash dishes or your hands, etc.
AudioSet	Drawer open or close	a box-shaped container, without a top, that is part of a piece of furniture. It slides in and out to open and close and is used for keeping things in
Fsd50k	Drawer_open_or_close	a box-shaped container, without a top, that is part of a piece of furniture. It slides in and out to open and close and is used for keeping things in
Fsd50k	Accordion	a box-shaped musical instrument consisting of a folded central part with a keyboard, played by pushing the two ends towards each other
AudioSet	Accordion	a box-shaped musical instrument consisting of a folded central part with a keyboard, played by pushing the two ends towards each other
Dcase2017t4	Accordion	a box-shaped musical instrument consisting of a folded central part with a keyboard, played by pushing the two ends towards each other
AudioSet	Air brake	a brake operated by air pressure, used on large vehicles such as buses and trains
Dcase2017t4	Air brake	a brake operated by air pressure, used on large vehicles such as buses and trains
Fsd50k	Trumpet	a brass musical instrument consisting of a metal tube with one narrow end, into which the player blows, and one wide end. Three buttons are pressed in order to change notes.
AudioSet	Trumpet	a brass musical instrument consisting of a metal tube with one narrow end, into which the player blows, and one wide end. Three buttons are pressed in order to change notes.
Dcase2017t4	Trumpet	a brass musical instrument consisting of a metal tube with one narrow end, into which the player blows, and one wide end. Three buttons are pressed in order to change notes.
Fsd50k	Cricket	a brown or black insect that makes short, loud noises by rubbing its wings together
AudioSet	Cricket	a brown or black insect that makes short, loud noises by rubbing its wings together
ESC50	crickets	a brown or black insect that makes short, loud noises by rubbing its wings together
AudioSet	Race car, auto racing	a car designed for use in races
Dcase2017t4	Race car, auto racing	a car designed for use in races
Fsd50k	Race_car_and_auto_racing	a car designed for use in races
AudioSet	Distortion	a change in or loss of sound quality, due to changes in the shape of the sound wave
Dcase2017t4	Distortion	a change in or loss of sound quality, due to changes in the shape of the sound wave
